result,question_id,question,A,B,C,D,answer,correct,model_name
D,2581,Which of these explains how a trench can form?,two oceanic plates converging,two continental plates converging,two continental plates diverging,two oceanic plates diverging,A,False,Y
D,2582,Pepsin is an enzyme that acts in the stomach for protein digestion. Which of these is most likely the main role of pepsin in this metabolic reaction?,to speed up the rate of reaction,to reduce the loss of energy as heat,to control the direction of the reaction,to protect the reaction from other chemicals,A,False,Y
D,2583,"Sodium chloride, commonly called ""table salt,"" is made up of sodium and chlorine that have been combined chemically. Which term best describes sodium chloride?",Acid,Atom,Element,Compound,D,True,Y
D,2584,"Katia was listening to music on the radio. In order for the sound to be produced, the electrical energy must be converted into which type of energy?",thermal energy,magnetic energy,chemical energy,mechanical energy,D,True,Y
D,2585,"Studies of snail fossils in Egypt indicate that areas of Egypt that are now desert were once thriving savannahs approximately 130,000 years ago. What does the presence of these fossils indicate about the area of Egypt that was thriving 130,000 years ago?",There was more humidity in the air.,There were fewer nutrients in the soil.,There was more snowfall in the region.,There was less solar radiation in the region.,A,False,Y
D,2586,Which statement identifies an energy source as renewable?,"Oil, because it is found underground.","Wind, because it is always available.","Water, because it is becoming scarce.","Coal, because it was formed from plants.",B,False,Y
C,2588,"Otto pushed a toy car across a floor. The car traveled fast across the wood, but it slowed to a stop on the carpet. Which best explains what happened when the car reached the carpet?",Inertia decreased.,Gravity increased.,Friction increased.,Magnetism decreased.,C,True,Y
B,2589,Eye color is a physical trait. Which statement best explains why a child has a specific eye color?,Eye color is a learned trait.,Eye color is an inherited trait.,Eye color is a trait that changes over time.,Eye color is a trait that happens by chance.,B,True,Y
D,2590,Manganese has an atomic number of 25 and an atomic mass of 55 amu. How many particles are found in its nucleus?,25,30,55,80,C,False,Y
D,2592,The fur of an arctic fox turns from brown to white as winter approaches. This is an example of,camouflage,hibernation,migration,movement,A,False,Y
C,2593,Which is an example of a chemical change?,a rusting car fender,a spinning top,a spilled bucket of water,a melting popsicle,A,False,Y
D,2594,Which statement is describing climate?,It snowed 12 centimeters last night.,Last winter was colder than normal.,There is a thunderstorm watch for the local area.,The temperature will be between 32°C and 37°C all week.,B,False,Y
D,2596,Which resource is considered nonrenewable?,wind power,solar energy,moving water,fossil fuels,D,True,Y
C,2597,Sand and iron particles that are similar in size and color are mixed together in a beaker. What would be the best method of separating the particles?,Use tweezers to separate them.,Use a magnet to separate them.,Add water to the mixture.,Pour the mixture into a filter.,B,False,Y
D,2598,Which habitat on Earth would probably 28 add the greatest amount of water to the water cycle through evaporation?,cold lake,desert sand,warm ocean,mountain rock,C,False,Y
C,2599,"Which of these actions will change a sedimentary rock, such as limestone, into a metamorphic rock, such as marble?",pressure from a glacier,heat from magma,erosion from flowing water,radiation from the Sun,B,False,Y
A,2600,A loaf of bread is baking in a pan in a 350° F oven. What would cause a burn to a hand the quickest because of its low specific heat?,the metal pan,the air in the oven,the surface of the bread,the outside of the oven door,A,True,Y
C,2601,"A student poured some sugar into a glass of water. After the water was stirred, no solid sugar remained in the glass. Which statement best describes what happened?",The sugar reacted with water to form elements.,The sugar reacted with water to form a mixture.,The sugar dissolved in water to form a solution.,The sugar dissolved in water to form compounds.,C,True,Y
A,2603,The fossils that are found in the oldest layers of sedimentary rock were formed which types of organisms?,only organisms that lived in the sea,only organisms that lived on land,only organisms that lived in the air,"organisms that lived on the land, in the sea and in the air",A,True,Y
C,2604,A snail's shell provides the snail with,food.,energy.,protection.,transportation.,C,True,Y
D,2605,"Since green plants make their own food, they are called",predators,prey,decomposers,producers,D,True,Y
D,2606,Which metalloid is used in solar cells and computer chips?,silicon,silver,arsenic,antimony,A,False,Y
B,2607,The best evidence that two land areas were once connected is the discovery that both land masses,have the same climate.,are in the same stage of succession.,exist along the same line of longitude.,have similar types of rocks and fossils.,D,False,Y
D,2609,What is the smallest particle of the element gold (Au) that can still be classified as gold?,atom,molecule,neutron,proton,A,False,Y
D,2610,Which best describes the function of the small intestine?,oxygenation of tissue,excretion of toxic wastes,transportation of blood cells,digestion and absorption of food,D,True,Y
B,2611,"A forest is flooded when a natural dam breaks, leaving the forest floor under two meters of water. Which animal is most affected by the flooding?",a crow,a rabbit,a squirrel,a butterfly,B,True,Y
C,2612,Which object will most likely be attracted to a magnet?,wooden block,plastic cup,metal nail,glass bead,C,True,Y
C,2613,At what temperature does pure water boil?,0°C,32°C,100°C,212°C,C,True,Y
D,2615,Corals are animals that live in tropical oceans. Fossils of corals are found in Ohio. What does the presence of coral fossils suggest about how the environment of Ohio has changed over time?,Ohio was once covered by warm seas.,A large glacier once passed over Ohio.,The average rainfall in Ohio is now much more than it once was.,The average temperature in Ohio is now much warmer than it.,A,False,Y
C,2617,Where is an igneous rock such as pumice most likely formed?,in a desert,in a creek bed,near a volcano,under a glacier,C,True,Y
D,2618,Why are many telescopes used far from cities?,The light from the cities makes it hard to see stars.,The noise from the cities vibrates the telescopes.,The power lines from the cities produce interference waves.,The pollution from the cities reflects starlight.,A,False,Y
C,2621,"When a soccer player kicks a ball, which two systems work directly with the muscular system?",immune and excretory,digestive and respiratory,nervous and skeletal,circulatory and integumentary,C,True,Y
D,2623,Which best explains why a person infected with bacteria may have a fever?,The body is responding to fight off the bacteria.,The body is releasing waste material from the bacteria.,The body is producing hormones to kill the infection.,The body is reducing the blood supply to the infection site.,A,False,Y
